LOCATION,TIME,Value
AUS,1960,25029.0336
AUS,1961,25320.6787
AUS,1962,27905.9382
AUS,1963,30378.5632
AUS,1964,32687.4079
AUS,1965,34481.4258
AUS,1966,38275.4368
AUS,1967,40994.175
AUS,1968,46477.0639
AUS,1969,52119.205
AUS,1970,58735.5988
AUS,1971,64002.4173
AUS,1972,69659.4024
AUS,1973,78675.8464
AUS,1974,86142.1985
AUS,1975,96649.3168
AUS,1976,104066.1842
AUS,1977,110043.8655
AUS,1978,123077.1789
AUS,1979,137682.4201
AUS,1980,154699.4672
AUS,1981,177906.1304
AUS,1982,181543.671
AUS,1983,196104.3978
AUS,1984,211187.1854
AUS,1985,228781.7011
AUS,1986,238994.1383
AUS,1987,260883.0321
AUS,1988,282313.3684
AUS,1989,299191.284
AUS,1990,303556.7336
AUS,1991,313405.4227
AUS,1992,333988.1098
AUS,1993,355041.3939
AUS,1994,380411.0991
AUS,1995,402823.5083
AUS,1996,423447.1633
AUS,1997,449773.2375
AUS,1998,477152.175
AUS,1999,509548.5562
AUS,2000,537532.515
AUS,2001,567475.6949
AUS,2002,599052.8081
AUS,2003,634477.3054
AUS,2004,674705.7067
AUS,2005,717192.9626
AUS,2006,773295.5584
AUS,2007,823936.2964
AUS,2008,850737.0788
AUS,2009,901191.5097
AUS,2010,941628.4327
AUS,2011,990568.3401
AUS,2012,995952.789
AUS,2013,1102723.049
AUS,2014,1116293.109
AUS,2015,1125858.503
AUS,2016,1209152.928
AUS,2017,1272436.225
AUS,1960,2408.509071
AUS,1961,2379.169582
AUS,1962,2572.910414
AUS,1963,2747.828019
AUS,1964,2897.709644
AUS,1965,2996.975488
AUS,1966,3270.051273
AUS,1967,3441.34523
AUS,1968,3826.664208
AUS,1969,4200.716812
AUS,1970,4638.19186
AUS,1971,4849.263112
AUS,1972,5194.862127
AUS,1973,5778.893671
AUS,1974,6227.757052
AUS,1975,6918.901861
AUS,1976,7375.29377
AUS,1977,7705.325855
AUS,1978,8528.766458
AUS,1979,9428.700513
AUS,1980,10447.46415
AUS,1981,11921.36662
AUS,1982,11956.09061
AUS,1983,12739.42884
AUS,1984,13555.54036
AUS,1985,14490.58487
AUS,1986,14919.97568
AUS,1987,16040.61954
AUS,1988,17076.57592
AUS,1989,17793.75321
AUS,1990,17788.16026
AUS,1991,18132.69051
AUS,1992,19108.40169
AUS,1993,20132.99804
AUS,1994,21364.80858
AUS,1995,22372.99337
AUS,1996,23234.66723
AUS,1997,24413.68059
AUS,1998,25642.86501
AUS,1999,27085.9255
AUS,2000,28248.36642
AUS,2001,29441.48002
AUS,2002,30728.22069
AUS,2003,32173.1635
AUS,2004,33849.18786
AUS,2005,35545.42656
AUS,2006,37812.11473
AUS,2007,39559.82909
AUS,2008,40036.19331
AUS,2009,41545.45331
AUS,2010,42739.51437
AUS,2011,44340.57028
AUS,2012,43809.9188
AUS,2013,47678.92947
AUS,2014,47551.0042
AUS,2015,47273.19881
AUS,2016,49983.79259
AUS,2017,51730.30694
AUT,1970,28549.1071
AUT,1971,31530.056
AUT,1972,34934.9789
AUT,1973,38650.3149
AUT,1974,43789.773
AUT,1975,47672.5065
AUT,1976,52598.1629
AUT,1977,58704.2724
AUT,1978,62701.0722
AUT,1979,71540.4916
AUT,1980,79353.3779
AUT,1981,86736.6
AUT,1982,93947.6506
AUT,1983,100529.9148
AUT,1984,104210.1573
AUT,1985,110191.9696
AUT,1986,114998.1425
AUT,1987,119440.7697
AUT,1988,127729.4533
AUT,1989,137896.464
AUT,1990,149275.1947
AUT,1991,159634.5506
AUT,1992,166690.6254
AUT,1993,171538.9411
AUT,1994,179410.5062
AUT,1995,188059.4525
AUT,1996,195228.3593
AUT,1997,202579.9761
AUT,1998,212777.6308
AUT,1999,220639.939
AUT,2000,235380.4085
AUT,2001,238978.4094
AUT,2002,251984.7843
AUT,2003,260767.9054
AUT,2004,275747.0012
AUT,2005,288086.7221
AUT,2006,311091.8412
AUT,2007,326780.2903
AUT,2008,343812.9764
AUT,2009,341463.0176
AUT,2010,351313.6961
AUT,2011,373031.477
AUT,2012,391635.1762
AUT,2013,406370.2445
AUT,2014,417059.5187
AUT,2015,431078.1342
AUT,2016,451297.2461
AUT,2017,474006.4924
AUT,1970,3823.61049
AUT,1971,4203.710914
AUT,1972,4631.120403
AUT,1973,5095.273075
AUT,1974,5762.932267
AUT,1975,6290.473623
AUT,1976,6952.34804
AUT,1977,7756.466328
AUT,1978,8291.264657
AUT,1979,9476.283505
AUT,1980,10511.17056
AUT,1981,11459.89211
AUT,1982,12403.73833
AUT,1983,13294.24904
AUT,1984,13781.79818
AUT,1985,14566.05455
AUT,1986,15191.71361
AUT,1987,15768.62018
AUT,1988,16839.03959
AUT,1989,18097.67958
AUT,1990,19442.31714
AUT,1991,20585.01539
AUT,1992,21259.63677
AUT,1993,21698.32103
AUT,1994,22606.8345
AUT,1995,23660.40198
AUT,1996,24529.20805
AUT,1997,25424.06297
AUT,1998,26674.59686
AUT,1999,27606.48424
AUT,2000,29380.07482
AUT,2001,29715.20802
AUT,2002,31178.05144
AUT,2003,32121.21651
AUT,2004,33753.47239
AUT,2005,35024.55748
AUT,2006,37626.24549
AUT,2007,39393.95357
AUT,2008,41316.02264
AUT,2009,40935.5288
AUT,2010,42017.79654
AUT,2011,44469.20964
AUT,2012,46477.65508
AUT,2013,47936.67796
AUT,2014,48813.53441
AUT,2015,49953.90058
AUT,2016,51636.9867
AUT,2017,53894.54896
BEL,1970,37450.9732
BEL,1971,40826.214
BEL,1972,44829.4688
BEL,1973,50181.0798
BEL,1974,56993.7813
BEL,1975,61446.5375
BEL,1976,68492.7535
BEL,1977,73203.959
BEL,1978,80579.7272
BEL,1979,89308.0259
BEL,1980,101737.1794
BEL,1981,111052.7133
BEL,1982,118615.3664
BEL,1983,123645.6427
BEL,1984,131266.0236
BEL,1985,137654.0523
BEL,1986,142985.8982
BEL,1987,149900.9592
BEL,1988,162518.5027
BEL,1989,174748.8489
BEL,1990,186978.0886
BEL,1991,196844.5857
BEL,1992,204412.1685
BEL,1993,207242.4956
BEL,1994,218498.3708
BEL,1995,228399.8273
BEL,1996,232496.5265
BEL,1997,243611.8229
BEL,1998,250626.406
BEL,1999,262228.592
BEL,2000,286916.7017
BEL,2001,297883.4312
BEL,2002,314972.1581
BEL,2003,322245.5822
BEL,2004,335956.2372
BEL,2005,349276.761
BEL,2006,373252.7108
BEL,2007,391797.4928
BEL,2008,408408.7386
BEL,2009,410361.8861
BEL,2010,436389.5608
BEL,2011,455705.2637
BEL,2012,471332.4746
BEL,2013,486673.7112
BEL,2014,499974.7211
BEL,2015,513901.6396
BEL,2016,535073.5453
BEL,2017,561910.6494
BEL,1970,3890.888241
BEL,1971,4226.204321
BEL,1972,4623.402061
BEL,1973,5159.918028
BEL,1974,5842.441747
BEL,1975,6281.531554
BEL,1976,6990.430468
BEL,1977,7462.89291
BEL,1978,8208.141697
BEL,1979,9090.764106
BEL,1980,10319.21893
BEL,1981,11265.23771
BEL,1982,12034.83831
BEL,1983,12547.76159
BEL,1984,13319.73857
BEL,1985,13965.10625
BEL,1986,14503.0833
BEL,1987,15187.53386
BEL,1988,16409.38032
BEL,1989,17580.3671
BEL,1990,18757.83393
BEL,1991,19672.65498
BEL,1992,20345.59257
BEL,1993,20547.54072
BEL,1994,21599.28537
BEL,1995,22531.30387
BEL,1996,22890.27533
BEL,1997,23928.08397
BEL,1998,24563.99157
BEL,1999,25643.32017
BEL,2000,27989.14269
BEL,2001,28957.26948
BEL,2002,30482.15989
BEL,2003,31056.82173
BEL,2004,32238.3876
BEL,2005,33331.11566
BEL,2006,35386.11214
BEL,2007,36871.58788
BEL,2008,38133.4023
BEL,2009,38010.54892
BEL,2010,40050.43693
BEL,2011,41450.36053
BEL,2012,42585.15311
BEL,2013,43745.95156
BEL,2014,44720.45806
BEL,2015,45728.92326
BEL,2016,47372.6025
BEL,2017,49511.90849
CAN,1970,98501.6035
CAN,1971,107756.3657
CAN,1972,118536.3452
CAN,1973,133739.4813
CAN,1974,151154.7921
CAN,1975,168166.4309
CAN,1976,186645.9486
CAN,1977,205098.6319
CAN,1978,228204.0457
CAN,1979,256540.5868
